evaluation_year,hourly_review_cost,review_cost,avoidable_fraction,fn_cost,training_fraud_positive_exposure_mean,capacity_per_10000,cost_method,candidate,threshold,tp,fp,fn,tn,alerts,rows,recall,precision,f1,alerts_per_10000,fn_positive_exposure,validation_cost
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,r1_pesos_clase,0.649206767076934,21.0,245.0,32.0,86365.0,266.0,86663.0,0.39622641509433965,0.07894736842105263,0.13166144200626959,30.69360626795749,1754.9199999999992,1404.4069757174393
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,r1_sin_balanceo,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.6415094339622641,0.38636363636363635,0.48226950354609927,10.154275757820523,1738.869999999999,728.9603918322296
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,r1_smotenc,0.5768130043177482,18.0,150.0,35.0,86460.0,168.0,86663.0,0.33962264150943394,0.10714285714285714,0.16289592760180996,19.38543553765736,3156.389999999999,1351.6638796909492
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,r1_submuestreo,0.6520989047438102,17.0,184.0,36.0,86426.0,201.0,86663.0,0.32075471698113206,0.0845771144278607,0.13385826771653545,23.19328894684006,2350.9899999999984,1432.5828476821193
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_actualizado,0.04657407529033145,34.0,54.0,19.0,86556.0,88.0,86663.0,0.6415094339622641,0.38636363636363635,0.48226950354609927,10.154275757820523,1738.869999999999,728.9603918322296
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_actualizado_contexto,0.22222171468797722,24.0,17.0,29.0,86593.0,41.0,86663.0,0.4528301886792453,0.5853658536585366,0.5106382978723404,4.73096938716638,3505.499999999999,972.6500717439294
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_peso10_reciente,0.11968095389706662,25.0,63.0,28.0,86547.0,88.0,86663.0,0.4716981132075472,0.2840909090909091,0.3546099290780142,10.154275757820523,3464.7299999999987,1011.7311037527594
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_profundo,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_reciente_3a,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.5471698113207547,0.3625,0.43609022556390975,9.231159779836839,2838.089999999999,874.0552317880795
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_reciente_profundo,0.08,31.0,33.0,22.0,86577.0,64.0,86663.0,0.5849056603773585,0.484375,0.5299145299145299,7.3849278238694716,2042.6199999999985,787.2172958057395
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_revisado_contexto,0.25417220693144005,20.0,11.0,33.0,86599.0,31.0,86663.0,0.37735849056603776,0.6451612903225806,0.47619047619047616,3.5770744146867752,3855.8599999999988,1083.3259437086092
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_revisado_reciente,0.08402718726896552,30.0,121.0,23.0,86489.0,151.0,86663.0,0.5660377358490566,0.1986754966887417,0.29411764705882354,17.423814084442036,1948.0099999999989,949.1362637969095
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,rf_variables_revisadas,0.04069334713831837,35.0,82.0,18.0,86528.0,117.0,86663.0,0.660377358490566,0.29914529914529914,0.4117647058823529,13.500571178011377,1574.3399999999988,741.0414238410597
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,r1_pesos_clase,0.649206767076934,21.0,245.0,32.0,86365.0,266.0,86663.0,0.39622641509433965,0.07894736842105263,0.13166144200626959,30.69360626795749,1754.9199999999992,1404.4069757174393
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,r1_sin_balanceo,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.6415094339622641,0.38636363636363635,0.48226950354609927,10.154275757820523,1738.869999999999,728.9603918322296
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,r1_smotenc,0.5768130043177482,18.0,150.0,35.0,86460.0,168.0,86663.0,0.33962264150943394,0.10714285714285714,0.16289592760180996,19.38543553765736,3156.389999999999,1351.6638796909492
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,r1_submuestreo,0.6520989047438102,17.0,184.0,36.0,86426.0,201.0,86663.0,0.32075471698113206,0.0845771144278607,0.13385826771653545,23.19328894684006,2350.9899999999984,1432.5828476821193
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_actualizado,0.04657407529033145,34.0,54.0,19.0,86556.0,88.0,86663.0,0.6415094339622641,0.38636363636363635,0.48226950354609927,10.154275757820523,1738.869999999999,728.9603918322296
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_actualizado_contexto,0.22222171468797722,24.0,17.0,29.0,86593.0,41.0,86663.0,0.4528301886792453,0.5853658536585366,0.5106382978723404,4.73096938716638,3505.499999999999,972.6500717439294
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_peso10_reciente,0.11968095389706662,25.0,63.0,28.0,86547.0,88.0,86663.0,0.4716981132075472,0.2840909090909091,0.3546099290780142,10.154275757820523,3464.7299999999987,1011.7311037527594
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_profundo,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_reciente_3a,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.5471698113207547,0.3625,0.43609022556390975,9.231159779836839,2838.089999999999,874.0552317880795
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_reciente_profundo,0.08,31.0,33.0,22.0,86577.0,64.0,86663.0,0.5849056603773585,0.484375,0.5299145299145299,7.3849278238694716,2042.6199999999985,787.2172958057395
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_revisado_contexto,0.25417220693144005,20.0,11.0,33.0,86599.0,31.0,86663.0,0.37735849056603776,0.6451612903225806,0.47619047619047616,3.5770744146867752,3855.8599999999988,1083.3259437086092
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_revisado_reciente,0.08402718726896552,30.0,121.0,23.0,86489.0,151.0,86663.0,0.5660377358490566,0.1986754966887417,0.29411764705882354,17.423814084442036,1948.0099999999989,949.1362637969095
2015,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,rf_variables_revisadas,0.04069334713831837,35.0,82.0,18.0,86528.0,117.0,86663.0,0.660377358490566,0.29914529914529914,0.4117647058823529,13.500571178011377,1574.3399999999988,741.0414238410597
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,r1_pesos_clase,0.7397769367966599,10.0,72.0,43.0,86538.0,82.0,86663.0,0.18867924528301888,0.12195121951219512,0.14814814814814814,9.46193877433276,3128.7599999999993,2825.031247240618
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,r1_sin_balanceo,0.05199335280409059,33.0,46.0,20.0,86564.0,79.0,86663.0,0.6226415094339622,0.4177215189873418,0.5,9.115770282588878,1783.999999999999,1375.2587196467991
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,r1_smotenc,0.6588691626989197,8.0,57.0,45.0,86553.0,65.0,86663.0,0.1509433962264151,0.12307692307692308,0.13559322033898305,7.500317321117432,4108.079999999999,2925.207119205298
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,r1_submuestreo,0.7025445412388028,9.0,66.0,44.0,86544.0,75.0,86663.0,0.16981132075471697,0.12,0.140625,8.654212293597038,3404.469999999999,2877.369183222958
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_actualizado,0.05199335280409059,33.0,46.0,20.0,86564.0,79.0,86663.0,0.6226415094339622,0.4177215189873418,0.5,9.115770282588878,1783.999999999999,1375.2587196467991
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_actualizado_contexto,0.205788967497016,25.0,54.0,28.0,86556.0,79.0,86663.0,0.4716981132075472,0.31645569620253167,0.3787878787878788,9.115770282588878,3445.579999999999,1877.9622075055188
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_peso10_reciente,0.13736302291125613,23.0,42.0,30.0,86568.0,65.0,86663.0,0.4339622641509434,0.35384615384615387,0.3898305084745763,7.500317321117432,3634.4699999999984,1982.6380794701986
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_profundo,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_reciente_3a,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.5471698113207547,0.3625,0.43609022556390975,9.231159779836839,2838.089999999999,1628.110463576159
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_reciente_profundo,0.08,31.0,33.0,22.0,86577.0,64.0,86663.0,0.5849056603773585,0.484375,0.5299145299145299,7.3849278238694716,2042.6199999999985,1478.434591611479
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_revisado_contexto,0.24297583520944419,21.0,34.0,32.0,86576.0,55.0,86663.0,0.39622641509433965,0.38181818181818183,0.3888888888888889,6.346422348637827,3855.679999999999,2093.3139514348786
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_revisado_reciente,0.10959287276851322,24.0,59.0,29.0,86551.0,83.0,86663.0,0.4528301886792453,0.2891566265060241,0.35294117647058826,9.57732827158072,3538.369999999999,1946.8001434878588
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,rf_variables_revisadas,0.05487809827309114,33.0,44.0,20.0,86566.0,77.0,86663.0,0.6226415094339622,0.42857142857142855,0.5076923076923077,8.884991288092957,1806.0899999999988,1372.2587196467991
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,r1_pesos_clase,0.6790446621621683,16.0,174.0,37.0,86436.0,190.0,86663.0,0.3018867924528302,0.08421052631578947,0.13168724279835392,21.924004477112494,2393.889999999999,2610.0036313465785
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,r1_sin_balanceo,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.660377358490566,0.2713178294573643,0.38461538461538464,14.885245144986904,1574.3399999999988,1324.5828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,r1_smotenc,0.5768130043177482,18.0,150.0,35.0,86460.0,168.0,86663.0,0.33962264150943394,0.10714285714285714,0.16289592760180996,19.38543553765736,3156.389999999999,2451.3277593818984
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,r1_submuestreo,0.6520989047438102,17.0,184.0,36.0,86426.0,201.0,86663.0,0.32075471698113206,0.0845771144278607,0.13385826771653545,23.19328894684006,2350.9899999999984,2563.6656953642387
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_actualizado,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.660377358490566,0.2713178294573643,0.38461538461538464,14.885245144986904,1574.3399999999988,1324.5828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_actualizado_contexto,0.205788967497016,25.0,54.0,28.0,86556.0,79.0,86663.0,0.4716981132075472,0.31645569620253167,0.3787878787878788,9.115770282588878,3445.579999999999,1877.9622075055188
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_peso10_reciente,0.07732997574740966,30.0,178.0,23.0,86432.0,208.0,86663.0,0.5660377358490566,0.14423076923076922,0.22988505747126436,24.001015427575783,2040.4599999999987,1757.272527593819
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_profundo,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_reciente_3a,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.5471698113207547,0.3625,0.43609022556390975,9.231159779836839,2838.089999999999,1628.110463576159
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_reciente_profundo,0.08,31.0,33.0,22.0,86577.0,64.0,86663.0,0.5849056603773585,0.484375,0.5299145299145299,7.3849278238694716,2042.6199999999985,1478.434591611479
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_revisado_contexto,0.24297583520944419,21.0,34.0,32.0,86576.0,55.0,86663.0,0.39622641509433965,0.38181818181818183,0.3888888888888889,6.346422348637827,3855.679999999999,2093.3139514348786
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_revisado_reciente,0.08402718726896552,30.0,121.0,23.0,86489.0,151.0,86663.0,0.5660377358490566,0.1986754966887417,0.29411764705882354,17.423814084442036,1948.0099999999989,1671.772527593819
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,rf_variables_revisadas,0.04069334713831837,35.0,82.0,18.0,86528.0,117.0,86663.0,0.660377358490566,0.29914529914529914,0.4117647058823529,13.500571178011377,1574.3399999999988,1306.5828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,r1_pesos_clase,0.6051404501238555,27.0,392.0,26.0,86218.0,419.0,86663.0,0.5094339622641509,0.06443914081145585,0.11440677966101695,48.34819934689545,1611.909999999999,2262.286335540839
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,r1_sin_balanceo,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.660377358490566,0.2713178294573643,0.38461538461538464,14.885245144986904,1574.3399999999988,1324.5828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,r1_smotenc,0.4891252344088401,28.0,371.0,25.0,86239.0,399.0,86663.0,0.5283018867924528,0.07017543859649122,0.12389380530973451,46.04040940193624,2023.5199999999986,2169.4483995584987
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,r1_submuestreo,0.6227897826602833,21.0,281.0,32.0,86329.0,302.0,86663.0,0.39622641509433965,0.0695364238410596,0.11830985915492957,34.84762816888407,1801.159999999998,2463.8139514348786
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,rf_actualizado,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.660377358490566,0.2713178294573643,0.38461538461538464,14.885245144986904,1574.3399999999988,1324.5828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,rf_actualizado_contexto,0.205788967497016,25.0,54.0,28.0,86556.0,79.0,86663.0,0.4716981132075472,0.31645569620253167,0.3787878787878788,9.115770282588878,3445.579999999999,1877.9622075055188
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,rf_peso10_reciente,0.07732997574740966,30.0,178.0,23.0,86432.0,208.0,86663.0,0.5660377358490566,0.14423076923076922,0.22988505747126436,24.001015427575783,2040.4599999999987,1757.272527593819
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,rf_profundo,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,rf_reciente_3a,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.5471698113207547,0.3625,0.43609022556390975,9.231159779836839,2838.089999999999,1628.110463576159
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,rf_reciente_profundo,0.08,31.0,33.0,22.0,86577.0,64.0,86663.0,0.5849056603773585,0.484375,0.5299145299145299,7.3849278238694716,2042.6199999999985,1478.434591611479
2015,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,rf_revisado_contexto,0.24297583520944419,21.0,34.0,32.0,86576.0,55.0,86663.0,0.39622641509433965,0.38181818181818183,0.3888888888888889,6.346422348637827,3855.679999999999,2093.3139514348786
