evaluation_year,candidate,round_validation,cost_fn,threshold_validation,tp_validation,fp_validation,fn_validation,tn_validation,alerts_validation,rows_validation,precision_validation,recall_validation,f1_validation,alerts_per_10000_validation,cost_validation,pool,round_evaluation,threshold_evaluation,tp_evaluation,fp_evaluation,fn_evaluation,tn_evaluation,rows_evaluation,precision_evaluation,recall_evaluation,f1_evaluation,alerts_evaluation,alerts_per_10000_evaluation,fp_per_10000,cost_evaluation,average_precision
2019,rf_variables_revisadas,previous,5,0.05518371506744926,8.0,16.0,61.0,44271.0,24.0,44356.0,0.3333333333333333,0.11594202898550725,0.17204301075268819,5.4107674271800885,321,all,previous,0.05518371506744926,3,27,120,73298,73448,0.1,0.024390243902439025,0.0392156862745098,30,4.08452238318266,3.676070144864394,627,0.01564293241081788
2015,rf_profundo,previous,25,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,495,all,previous,0.1,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,24657,0.42421844919856755
2016,rf_variables_revisadas,previous,10,0.025249642946088904,89.0,63.0,44.0,44223.0,152.0,44419.0,0.5855263157894737,0.6691729323308271,0.624561403508772,34.21959071568473,503,all,previous,0.025249642946088904,146,130,80,87429,87785,0.5289855072463768,0.6460176991150443,0.5816733067729084,276,31.44045110212451,14.808908127812268,930,0.6445929816402455
2019,rf_variables_revisadas,previous,10,0.04583877685873359,9.0,21.0,60.0,44266.0,30.0,44356.0,0.3,0.13043478260869565,0.18181818181818182,6.763459283975111,621,all,previous,0.04583877685873359,4,37,119,73288,73448,0.0975609756097561,0.032520325203252036,0.04878048780487805,41,5.582180590349635,5.03757760592528,1227,0.01564293241081788
2015,rf_profundo,previous,50,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,945,all,previous,0.1,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,26432,0.42421844919856755
2016,rf_variables_revisadas,previous,25,0.01171670941011998,102.0,314.0,31.0,43972.0,416.0,44419.0,0.24519230769230768,0.7669172932330827,0.37158469945355194,93.65361669555821,1089,all,previous,0.01171670941011998,167,566,59,86993,87785,0.22783083219645292,0.7389380530973452,0.3482794577685089,733,83.49945890527995,64.47570769493649,2041,0.6445929816402455
2019,rf_actualizado,previous,25,0.02046171411871807,14.0,93.0,55.0,44194.0,107.0,44356.0,0.1308411214953271,0.2028985507246377,0.1590909090909091,24.123004779511227,1468,all,previous,0.02046171411871807,12,160,111,73165,73448,0.06976744186046512,0.0975609756097561,0.08135593220338982,172,23.41792833024725,21.784119376974186,2935,0.02181822089145973
2015,rf_profundo,previous,100,0.03,41.0,452.0,12.0,86158.0,493.0,86663.0,0.08316430020283976,0.7735849056603774,0.15018315018315018,56.887022143244515,1652,all,previous,0.03,136,25350,54,62530,88070,0.005336263046378404,0.7157894736842105,0.01059355039725814,25486,2893.834449869422,2878.392188032247,30750,0.42421844919856755
2016,rf_variables_revisadas,previous,50,0.010110126824953327,106.0,461.0,27.0,43825.0,567.0,44419.0,0.18694885361552027,0.7969924812030075,0.3028571428571429,127.64807852495552,1811,all,previous,0.010110126824953327,173,851,53,86708,87785,0.1689453125,0.7654867256637168,0.2768,1024,116.64863017599818,96.94139089821724,3501,0.6445929816402455
2019,rf_actualizado,previous,50,0.014357903872303419,17.0,202.0,52.0,44085.0,219.0,44356.0,0.0776255707762557,0.2463768115942029,0.11805555555555555,49.37325277301831,2802,all,previous,0.014357903872303419,17,347,106,72978,73448,0.046703296703296704,0.13821138211382114,0.06981519507186858,364,49.55887158261627,47.24430889881277,5647,0.02181822089145973
2016,rf_variables_revisadas,previous,100,0.008048879805686738,112.0,873.0,21.0,43413.0,985.0,44419.0,0.11370558375634518,0.8421052631578947,0.2003577817531306,221.75195299308854,2973,all,previous,0.008048879805686738,182,1688,44,85871,87785,0.09732620320855614,0.8053097345132744,0.1736641221374046,1870,213.02044768468417,192.287976305747,6088,0.6445929816402455
2019,rf_actualizado,previous,100,0.014357903872303419,17.0,202.0,52.0,44085.0,219.0,44356.0,0.0776255707762557,0.2463768115942029,0.11805555555555555,49.37325277301831,5402,all,previous,0.014357903872303419,17,347,106,72978,73448,0.046703296703296704,0.13821138211382114,0.06981519507186858,364,49.55887158261627,47.24430889881277,10947,0.02181822089145973
