evaluation_year,candidate,round,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,pool
2019,rf_variables_revisadas,previous,10,0.04583877685873359,9.0,21.0,0.13043478260869565,6.763459283975111,4,37,119,73288,73448,0.0975609756097561,0.032520325203252036,0.04878048780487805,41,5.582180590349635,5.03757760592528,previous
2016,rf_actualizado_contexto,new_context,100,0.1429951835027853,58.0,364.0,0.43609022556390975,95.0043900132826,78,659,148,86900,87785,0.10583446404341927,0.34513274336283184,0.16199376947040497,737,83.95511761690494,75.06977274021757,new_context
2016,rf_actualizado_contexto,new_context,250,0.1429951835027853,58.0,364.0,0.43609022556390975,95.0043900132826,78,659,148,86900,87785,0.10583446404341927,0.34513274336283184,0.16199376947040497,737,83.95511761690494,75.06977274021757,new_context
2016,rf_actualizado_contexto,new_context,50,0.148630435884961,56.0,156.0,0.42105263157894735,47.7273238929287,74,284,152,87275,87785,0.20670391061452514,0.3274336283185841,0.2534246575342466,358,40.78145469043686,32.351768525374496,new_context
2016,rf_actualizado_contexto,new_context,25,0.15623026834278422,53.0,37.0,0.39849624060150374,20.26159976586596,70,70,156,87489,87785,0.5,0.30973451327433627,0.3825136612021858,140,15.94805490687475,7.974027453437375,new_context
2016,rf_actualizado_contexto,new_context,10,0.2118937511361991,44.0,0.0,0.3308270676691729,9.90567099664558,53,4,173,87555,87785,0.9298245614035088,0.2345132743362832,0.3745583038869258,57,6.493136640656148,0.4556587116249929,new_context
2015,rf_actualizado_contexto,new_context,250,0.02188067607405339,40.0,1822.0,0.7547169811320755,214.85524387570243,139,37192,51,50688,88070,0.0037234470011518576,0.7315789473684211,0.007409184190186829,37331,4238.78732826161,4223.004428295674,new_context
2015,rf_actualizado_contexto,new_context,10,0.205788967497016,25.0,54.0,0.4716981132075472,9.115770282588878,62,3304,128,84576,88070,0.0184194890077243,0.3263157894736842,0.03487064116985377,3366,382.1959804700806,375.1561258090156,new_context
2015,rf_actualizado_contexto,new_context,25,0.205788967497016,25.0,54.0,0.4716981132075472,9.115770282588878,62,3304,128,84576,88070,0.0184194890077243,0.3263157894736842,0.03487064116985377,3366,382.1959804700806,375.1561258090156,new_context
2015,rf_actualizado_contexto,new_context,50,0.205788967497016,25.0,54.0,0.4716981132075472,9.115770282588878,62,3304,128,84576,88070,0.0184194890077243,0.3263157894736842,0.03487064116985377,3366,382.1959804700806,375.1561258090156,new_context
2015,rf_actualizado_contexto,new_context,100,0.205788967497016,25.0,54.0,0.4716981132075472,9.115770282588878,62,3304,128,84576,88070,0.0184194890077243,0.3263157894736842,0.03487064116985377,3366,382.1959804700806,375.1561258090156,new_context
2019,rf_actualizado_contexto,new_context,10,0.24184335899839163,3.0,2.0,0.043478260869565216,1.1272432139958517,0,1,123,73324,73448,0.0,0.0,0.0,1,0.13615074610608865,0.13615074610608865,new_context
2019,rf_actualizado_contexto,new_context,25,0.24184335899839163,3.0,2.0,0.043478260869565216,1.1272432139958517,0,1,123,73324,73448,0.0,0.0,0.0,1,0.13615074610608865,0.13615074610608865,new_context
2019,rf_actualizado_contexto,new_context,50,0.24184335899839163,3.0,2.0,0.043478260869565216,1.1272432139958517,0,1,123,73324,73448,0.0,0.0,0.0,1,0.13615074610608865,0.13615074610608865,new_context
2019,rf_actualizado_contexto,new_context,100,0.24184335899839163,3.0,2.0,0.043478260869565216,1.1272432139958517,0,1,123,73324,73448,0.0,0.0,0.0,1,0.13615074610608865,0.13615074610608865,new_context
2019,rf_actualizado_contexto,new_context,250,0.24184335899839163,3.0,2.0,0.043478260869565216,1.1272432139958517,0,1,123,73324,73448,0.0,0.0,0.0,1,0.13615074610608865,0.13615074610608865,new_context
2016,rf_variables_revisadas,previous,250,0.008048879805686738,112.0,873.0,0.8421052631578947,221.75195299308854,182,1688,44,85871,87785,0.09732620320855614,0.8053097345132744,0.1736641221374046,1870,213.02044768468417,192.287976305747,all
2016,rf_variables_revisadas,previous,100,0.01171670941011998,102.0,314.0,0.7669172932330827,93.65361669555821,167,566,59,86993,87785,0.22783083219645292,0.7389380530973452,0.3482794577685089,733,83.49945890527995,64.47570769493649,all
2016,rf_variables_revisadas,previous,50,0.017444595171504994,93.0,123.0,0.6992481203007519,48.627839438078304,155,231,71,87328,87785,0.4015544041450777,0.6858407079646017,0.5065359477124183,386,43.971065671811814,26.314290596343337,all
2016,rf_variables_revisadas,previous,25,0.048107791790953695,82.0,21.0,0.6165413533834586,23.188275287602153,130,51,96,87508,87785,0.7182320441988951,0.5752212389380531,0.6388206388206388,181,20.61855670103093,5.809648573218659,all
2015,r1_sin_balanceo,previous,250,0.008892138596922438,46.0,1793.0,0.8679245283018868,212.20128543899932,153,26936,37,60944,88070,0.005648049023588911,0.8052631578947368,0.011217419993401518,27089,3075.84875667083,3058.476212104008,all
2016,rf_actualizado,previous,10,0.23388382358654777,44.0,0.0,0.3308270676691729,9.90567099664558,62,4,164,87555,87785,0.9393939393939394,0.2743362831858407,0.4246575342465753,66,7.518368741812383,0.4556587116249929,all
2015,rf_profundo,previous,100,0.025,42.0,621.0,0.7924528301886793,76.50323667539782,142,26077,48,61803,88070,0.005415919752850986,0.7473684210526316,0.010753909652012571,26219,2977.063699330078,2960.940161235381,all
2015,r1_sin_balanceo,previous,50,0.016519726771066157,40.0,371.0,0.7547169811320755,47.42508336891176,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,all
2015,rf_profundo,previous,25,0.06,36.0,132.0,0.6792452830188679,19.38543553765736,127,23885,63,63995,88070,0.0052890221555888725,0.6684210526315789,0.010495000413188993,24012,2726.4675826047464,2712.0472351538547,all
2015,rf_profundo,previous,10,0.1,35.0,45.0,0.660377358490566,9.231159779836839,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,all
2019,rf_actualizado,previous,250,0.007347273473527625,21.0,932.0,0.30434782608695654,214.85255658760934,28,1599,95,71726,73448,0.017209588199139522,0.22764227642276422,0.032,1627,221.51726391460625,217.70504302363577,all
2019,rf_actualizado,previous,100,0.010705705546586118,18.0,398.0,0.2608695652173913,93.78663540445486,21,682,102,72643,73448,0.029871977240398292,0.17073170731707318,0.05084745762711865,703,95.71397451258034,92.85480884435246,all
2019,rf_actualizado,previous,50,0.014357903872303419,17.0,202.0,0.2463768115942029,49.37325277301831,17,347,106,72978,73448,0.046703296703296704,0.13821138211382114,0.06981519507186858,364,49.55887158261627,47.24430889881277,all
2019,rf_actualizado,previous,25,0.02046171411871807,14.0,93.0,0.2028985507246377,24.123004779511227,12,160,111,73165,73448,0.06976744186046512,0.0975609756097561,0.08135593220338982,172,23.41792833024725,21.784119376974186,all
2019,rf_variables_revisadas,previous,10,0.04583877685873359,9.0,21.0,0.13043478260869565,6.763459283975111,4,37,119,73288,73448,0.0975609756097561,0.032520325203252036,0.04878048780487805,41,5.582180590349635,5.03757760592528,all
